Time;BO1;MX1;TZ1;OM1;OM2w;OM2s;NA1;MY1;MW1;KE1;ID1;HN1;HN2;PH1;DO1;CO1;VC1;KE2;KE3;KE4;KE5;KE6;KE7;KE8;KE9
0;10.63745158;20;65.17809;43;2980;5703.5;60.294;0.073026;8.0665;202.07;1444.6;9.930554915;1.442;1466;2707.81893;1017.786561;811.4754098;22.89;32.65;104.23;92.15;173.74;25.9;41.97;126.77
1;10.02254686;18.65;63.86252538;42.5;2914.6;5733.1;56.58228571;0.077489907;8.893898718;202.0740741;1444.576923;9.60929522;1.2821;1415.888889;2650.205761;948.6166008;781.9672131;20.73;28.69055556;97.20947368;87.32588235;162.3195;23.46166667;40.30333333;115.4111765
2;9.437899379;17.48;63.06071;41.16;2794.8;5601.08;56.24161765;0.077435353;9.173133484;195.4814815;1418;9.54406024;1.3144;1365.074074;2563.786008;928.8537549;767.2131148;20.76;29.335;93.323;80.86647059;162.4273684;19.725;42.145;114.6277778
3;9.095868665;17.48;63.23168625;39.16;2704.2;5562.49;58.22770588;0.070018975;10.28234615;186.2962963;1401;9.38249659;1.3136;1326.444444;2534.979424;918.972332;752.4590164;20.16941176;31.54444444;95.09;81.73235294;159.1;18.22333333;43.76333333;108.815
4;8.69717662;17.3;62.74899429;36.96;2673.11;5402.41;66.31371429;0.067211569;10.9767;188.8888889;1419.384615;9.371803675;1.4166;1332.888889;2448.559671;988.1422925;745.0819672;21.00833333;28.81888889;97.56789474;82.13352941;157.954;19.77823529;40.26529412;120.6523529
5;6.914821148;17.42;62.90623364;34.39;2671.23;5089.43;73.79627273;0.067060082;9.918775;215.4074074;1537;9.306386865;1.5942;1371.444444;2390.946502;1057.312253;767.2131148;25.93166667;32.56944444;104.6542105;94.06470588;159.33;23.65555556;40.01;143.3376471
6;7.009083032;17.98;72.84664385;26.13;2672.82;4353.99;77.72458824;0.077903098;6.880166667;245.3703704;1531.038462;8.193136585;1.7575;1365.333333;2707.81893;1037.549407;745.0819672;27.295;36.864;92.514;96.75470588;155.9084211;23.1;40.17;145.6929412
7;7.48861257;20.49;66.09422182;21.29;2700.47;4178.14;79.89570588;0.08107667;5.953677143;248;1354.8;7.648219435;1.6428;1436.692308;3168.72428;1146.245059;789.3442623;25.17333333;28.38529412;91.31;117.3694118;154.7391667;30.17941176;42.12555556;152.51
8;7.666939365;21.47;59.5861;23.28;2622.88;4055.02;83.83835294;0.096213194;5.950090769;254;1350;6.97962302;1.0437;1522.814815;3341.563786;1274.703557;855.7377049;24.63333333;36.28;117.3427273;118.4276471;174.68;32.33333333;43.80666667;167.0917647
9;8.161979081;20.98;56.00007316;24.34;2670.21;4078.04;86.07838235;0.054081684;7.15854;277.4444444;1375;7.04455438;1.5133;1582.851852;3399.176955;1393.280632;877.8688525;30.19555556;39.63777778;135.086;113.5852941;165.3741667;37.51222222;42.19555556;158.4458824
10;8.697654525;21.29;60.62013818;25.65;2553.36;3997.67;84.95135294;0.051741374;6.614975753;298.1111111;1375;7.41909834;1.434;1618.259259;3427.983539;1482.213439;885.2459016;27.08444444;40.69388889;132.0521053;109.5158824;164.19;35.82;42.26222222;171.7347059
11;8.991844923;20.86;58.04731636;28.4;2558.02;3984.35;80.92605882;0.033856158;6.9065;310;1400;7.860772055;1.5161;1606.296296;3370.37037;1551.383399;885.2459016;38.30333333;44.95555556;133.742;125.0023529;169.0188889;41.07;43.83888889;161.2905882
12;9.566486736;20.55;67.6888275;31.38;2559.39;4138.58;77.66938235;0.027092111;6.957001818;318.6666667;1408.115385;8.014345445;1.6691;1586.111111;3341.563786;1561.264822;885.2459016;35.444;43.398;123.12;113.36375;190.7722222;35.78333333;42.30111111;154.3686667
13;9.68656391;20.06;57.1311375;36.63;2557.2;4564.69;76.11923529;0.018588537;6.968476667;311.5555556;1404.692308;8.371624865;1.7386;1619.666667;3283.950617;1581.027668;877.8688525;46.475;34.04;125.6278947;109.3266667;180.675;33.88;44.25823529;133.45
14;10.1501515;20.49;55.67955;40.4;2747.3;5574.76;74.63782353;0.012851546;6.518572308;306.6666667;1400.807692;8.724379055;1.8916;1607.555556;3341.563786;1600.790514;885.2459016;33.55;38.545;117.08;97.5155;192.433;40.91055556;47.72333333;143.0223529
15;9.839549646;20.43;57.580776;42.16;2760.64;5768.5;73.82294118;0.014242385;6.9955;303.4074074;1383.04;8.19574367;2.0431;1617;3341.563786;1600.790514;885.2459016;32.18055556;29.13090909;114.322;106.9282353;199.0489474;39.67277778;46.33;147.6688235
16;9.631351828;20.86;59.22891;39.05;2798.92;5298.24;74.176;0.022676666;7.557321678;295.2962963;1365.692308;7.4328513;1.8055;1619.962963;3283.950617;1581.027668;870.4918033;32.36666667;37.642;106.8505882;112.9770588;181.64;38.44444444;49.72333333;159.6633333
